product_id,sales,sold_in_distinct_parcels,in_distinct_dates_scanned,special_positive_rate_by_order,special_positive_rate_by_parcel,special_positive_rate_by_date,marked_has_battery_pct,marked_has_liquid_pct,marked_has_sensitive_pct,time,product_name,true_tag_ids,tags
5cd4f6724d31f87317ac7729,9,6,5,55.6,66.7,80.0,0.0,0.0,55.6,1562025600,Double head Lipstick & Lip Liner Brand DNM Do not fade multi-function pearl matte lipstick pen waterproof long-lasting lip makeup,5463d7c28d922c3687fa861a,"pearl,makeup,beauty,lipliner,lipmakeup,matte,pen,cosmetic,longlastinglipstick,waterproof,lip,sexylipstick,mattelipstick,lipstick,head,waterprooflipstick"
5cc69e96f394cc37c678bb9d,9,6,4,77.8,66.7,75.0,0.0,0.0,77.8,1562025600,Brand evpct 1 Pcs Charming Cat Eye Winged Eyeliner Sexy Eye Cosmetic Seal Stamp Wing Double Head Waterproof Eyeliner Pen Tool Eye Makeup 7 Colors Black Brown Purple Blue Red Pink Green Eyeliner & Stamp,53dc186421a86318bdc87f2f,"cosmetic,green,liquideyeliner,wing,eyelinerstamp,pen,eye,red,pink,cat,makeuptool,eyeliner,stamp,eyemakeup,head,sexy,black,blue,eyelinerpencil,makeup,beauty,seal,matteeyeliner,tool,brown,eyelinerpen,waterproof,coloreyeliner,purple"
5accb172dc0c28753a4fc2fa,9,6,5,88.9,83.3,80.0,0.0,0.0,88.9,1562025600,9 Colors Gloxinia Seeds Sinningia Gloxinia Flower Seed Home Bonsai Diy For Garden Ornamental-plant  100PCS,5ab2e79c30b04a340b9a76b3,"sinningia,flower,diy,homekitchen,ornamental,color,gloxinia,plant,home,seed,garden,bonsai,homeliving"
5a1edc97650f3c641d757b7b,9,6,4,22.2,33.3,50.0,0.0,11.1,11.1,1562025600,Fashion Style Lvpai Vente Chaude De Mode De Luxe Femmes Montres Femmes Bracelet Montre Watch,54bd6f672297f138a9d5a7f8,"watch,jewelrywatche,watche,bracelet,quartzwatch,quartz,quartzrhinestonecrystalwristwatchluxury,womensfashion,fashionwatche,wristwatch,jewelry,fashion"
5c6ea25e97ba062698306481,9,6,6,100.0,100.0,100.0,0.0,0.0,100.0,1562025600,2019 New 3 Colors-Green/Red/Blue Laser Pointer Pen Powerful Beam Light Lamp Presentation 532nm Lazer High Power for Students/Teaching/ Identification/Pets,5488e9b758f177327419fec4,"beam,interiordesign,laserpen,light,laser,lamp,tool,lighting,pen,flashlight"
594e94a558d9217089dd09a7,9,6,6,66.7,50.0,50.0,0.0,0.0,66.7,1562025600,Retro DIY Vintage Floral Flower Pattern Round Wooden Rubber Stamp Scrapbook Love you Thank you Letter Stamp,53ebfee121a8634ff500d116,"floral,pattern,retro,flower,diy,vintage,letter,stamp,love,scrapbook,wooden"
5ae2ec7e99cd1473c741b42e,9,6,6,88.9,100.0,100.0,11.1,0.0,77.8,1562025600,Best Lip 17 Colors Lip Makeup Sexy Matte Velvet Long Lasting Liquid Lipstick,53dc186421a86318bdc87f2b,"makeup,beauty,waterproof,lipmakeup,matte,velvet,liquidlipstick,healthbeauty,cosmetic,lipglos,sexy,lip,lipstick"
5ad40a693c1dc63333bf57cc,9,6,6,100.0,100.0,100.0,0.0,0.0,100.0,1562025600,Matte Lipstick Lips Makeup Cosmetics Waterproof Pintalabios Batom Mate Lip Gloss Rouge a Levre Labial,53dc186421a86318bdc87f2b,"makeup,makeuplipstick,lipglos,lipmakeup,matte,lipstickliquid,healthbeauty,glos,beauty,cosmetic,waterproof,sexy,lip,mattelipstick,waterprooflipstick,lipstick,liquidlipstick,moisturizer"
5ad99240a69e6677dd6e0086,9,6,6,66.7,66.7,66.7,11.1,0.0,55.6,1562025600,  Flos Daturae Flower(Yang Jin Hua) Seeds Beautiful Flower Seeds Garden Planters   50 Pcs/bag,5ab2e79c30b04a340b9a76b3,"flowerseed,germinateseed,garden,flower,seedsandplant,daturaflower,flowdatura,yangjinhua,mandalaflower,seed,datura,beautiful"
5a4382a3a2ef555c9ac55df6,9,6,6,88.9,83.3,83.3,22.2,0.0,66.7,1562025600,17 Colors New Metallics Nail Polish Mirror Nail Polish ,5478f28258f177436386b912,"beauty,mirror,gelnailpolish,nailpolish,nailbeautytool,womensfashion,nail,nailart,metallicnailpolish,cosmetic"
